lr,recon_weight,val_f1
0.0003,0.1,0.5180656209757913
0.001,0.1,0.5586748677101195
0.003,0.1,0.5782213977050491
0.001,0.0,0.5670618146363624
0.001,0.3,0.5770782944954896
