ablation,val_f1,test_acc,test_f1,test_auc,params
full,0.5837512039239721,0.7796610169491526,0.587900728485149,0.8696278314425221,270534
no_cnn,0.604087149849006,0.7590799031476998,0.592456057806683,0.8732570352842911,152402
no_ae,0.6203493032987105,0.7687651331719129,0.6149147719769441,0.8937197131447585,192326
no_bilstm,0.5946793162984008,0.7814769975786925,0.5970962979750905,0.890666336828648,191686
no_gru,0.5796036369549563,0.7584745762711864,0.5645719234921679,0.8543451632347384,237446
no_attention,0.5831319994257576,0.7736077481840193,0.5888476301669769,0.8869985480933795,270469
